"","name","n_nbinom","q_nbinom","pvalue_nbinom","n_binomlog","q_binomlog","p_binomlog","pvalue_binomlog","p1_doublenbinom","size1_doublenbinom","p2_doublenbinom","size2_doublenbinom","pvalue_doublenbinom","freq","class"
"result.104","anything",3.72509339370839,0.451817396605892,0.179450643506836,11,0.621030912089519,0.242745672229026,0.132324307527329,0.418522618528134,2.84221381728648,0.832667353921133,2.83999572802772,0.179515883769844,461,"all"
"result.105","being",5.2442385210978,0.538166307886055,0.0324498446610777,10,0.579866551181217,0.283366539896131,0.0216762672453735,0.518509155726519,4.31875903455908,0.743520625947024,1.41958720566003,0.0313155923134387,459,"nothing"
"result.106","going",1.82551295123914,0.289009810211376,0.332346801805028,524,0.737312090424148,0.00418410990308652,0.306934257615593,0.759552231335775,4.37395574884351,0.19882921612057,0.768242003369606,0.433610517946481,458,"all"
"result.107","yes",0.511518495980114,0.103520057678534,0.0104427520873602,91,0.958901552082238,0.011186890587568,5.81682928602056e-07,0.999989296401709,4.47251328535162e-05,0.137392212423687,0.705877443540305,0.0540025210110369,452,"doublenbinom"
"result.108","said",2.4389126749913,0.359579981646355,0.0571331603176549,2,0.82489769581656,0.797291320795299,0.043302477332664,0.504802811227575,3.82336153935989,0.0635681521380804,0.0398501235562651,0.104047057426302,443,"nbinom+doublenbinom"
"result.109","your",0.661285719830675,0.137843514238329,0.263018958167318,195,0.905819981489519,0.00622955148034939,0.00428142418046895,0.497184469570801,1.38644168706062,0.0628977399291428,0.183383936521365,0.44907007201568,422,"nbinom+doublenbinom"
"result.110","their",2.11912022697355,0.340262561022656,0.116029504755195,11,0.695762905556172,0.192983611026643,0.120216953096799,0.795043445007845,1.47084009065015,0.314951179146416,1.71412484071199,0.132473972074884,419,"all"
"result.111","my",0.8341183095478,0.17010780476009,0.125874618879333,615,0.83553250447591,0.00237613823708868,0.12067194438606,0.999999677098228,1.24250090086345,0.169974136075561,0.833260430605363,0.125683179854124,415,"all"
"result.112","girl",1.62154707247473,0.28597444727882,0.102183078708974,2,0.822429779688557,0.712995632280746,0.309171280567064,0.932944603327127,17.1246732108203,0.17522941598491,0.596131880897307,0.544927826996803,413,"all"
"result.113","will",0.965957406533889,0.192590556659024,0.638291345432155,2,0.881778082153745,0.58409799905265,0.598444940517757,0.435315882647636,1.45711512290947,0.0913699429669785,0.216942016837784,0.620079020093211,413,"all"
"result.114","are",1.08211198321405,0.212138706004343,0.0672421688521377,405,0.857772531381365,0.00374287840346644,0.00365223315086993,0.683970360844753,4.00299091212098,0.078643945952166,0.185178346056116,0.807804941914286,410,"nbinom+doublenbinom"
"result.115","still",2.48019664655594,0.382727653561463,0.159836002699481,415,0.583621586410223,0.00594121993768243,0.144961269345359,0.382775453855644,0.970157585436648,0.382715182129094,1.50988024023175,0.159827025809784,408,"all"
"result.116","while",2.89773547922158,0.420708313689558,0.117477692337417,5,0.695326123718256,0.415679351246726,0.181637607800755,0.272001183086417,0.822385155286963,0.821332656305088,8.20114193271051,0.195693796112643,407,"all"
